id,name,lat,lng,category,country,city,sources,url,tags
1,"""Butterfly Communities"" open project",47.555,13.9296,ecovillage,,,EcovillageMap,,
2,"""Meshek 43"", Shdema Israel",31.8338,34.7401,ecovillage,,,EcovillageMap,,
3,"#MeetThetribe : Gond Tribe, Bastar, Chattisgarh",19.1071,81.9535,ecovillage,,,EcovillageMap,,
4,13 ha nature sanctuary in Southwest France welcomes candidates for ecovillage project.,44.5841,-0.0903,ecovillage,,,EcovillageMap,,
5,1st Humanity Fellowship Centre in New Brunswick,46.894,-65.8189,ecovillage,,,EcovillageMap,,
6,8100,41.2135,28.0713,ecovillage,,,EcovillageMap,,
7,A Quinta da Lage - Off-grid Regenerative Farm,37.6797,-8.6821,ecovillage,,,EcovillageMap,,
8,A settlement is GIFT,53.6978,91.6963,ecovillage,,,EcovillageMap,,
9,A.N.D Ecovillage,46.4195,-67.3569,ecovillage,,,EcovillageMap,,
10,ACADEMIA LIBERA HISTRIENSIS,45.0812,13.6387,ecovillage,,,EcovillageMap,,
11,ACUDAB ECO VILLAGE,5.5029,10.6365,ecovillage,,,EcovillageMap,,
12,AIH Andelssamfundet i Hjortshöj,56.1629,10.2039,ecovillage,,,EcovillageMap,,
13,ALDEA MAGIKA,4.5981,-74.0758,ecovillage,,,EcovillageMap,,
14,ALMA Ecovillage,46.567,-1.5282,ecovillage,,,EcovillageMap,,
15,ASB Valley Panpoli,9.0225,77.2506,ecovillage,,,EcovillageMap,,
16,AUTarca,28.7393,-17.9773,ecovillage,,,EcovillageMap,,
17,AZ Eco-village,52.0657,87.3523,ecovillage,,,EcovillageMap,,
18,Abundance Ecovillage,41.0009,-91.9739,ecovillage,,,EcovillageMap,,
19,Accès à l’eau pour un développ,32.0895,-8.6074,ecovillage,,,EcovillageMap,,
20,Adamama,31.4775,34.6301,ecovillage,,,EcovillageMap,,
21,Adawehi Wellness Village,35.2606,-82.1642,ecovillage,,,EcovillageMap,,
22,Aderema by Oluokos - Smile With Nature,0.5703,34.2322,ecovillage,,,EcovillageMap,,
23,Adivasi Academy,22.30357,73.17511,ecoversity,,,Ecoversities,,
24,Adunam,16.2913,-14.1393,ecovillage,,,EcovillageMap,,
25,Adventureversity,60.71971,-135.05228,ecoversity,,,Ecoversities,,
26,Aerdscheff,49.7707,5.8997,ecovillage,,,EcovillageMap,,
27,Aerium,43.9996,3.4854,ecovillage,,,EcovillageMap,,
28,African Peace Village,38.6488,-8.2141,ecovillage,,,EcovillageMap,,
29,African Youth Initiative on Climate,31.5131,-9.7697,ecovillage,,,EcovillageMap,,
30,Agatha Amani House Shelter,-0.7351,36.4731,ecovillage,,,EcovillageMap,,
31,Agroarte,6.26071,-75.61197,ecoversity,,,Ecoversities,,
32,"Agroturismo,Ecoturismo,Permacultura",38.8798,-0.5884,ecovillage,,,EcovillageMap,,
33,Agrovilla El Prado,4.7874,-75.6442,ecovillage,,,EcovillageMap,,
34,Ahimsagram,26.8335,75.7915,ecovillage,,,EcovillageMap,,
35,Al-Mizan Children's Eco Village,-7.0593,39.2744,ecovillage,,,EcovillageMap,,
36,Alaska Resiliency Institute,64.9027,-147.6478,ecovillage,,,EcovillageMap,,
37,Alaya Ecolodge,-8.1565,114.6566,ecovillage,,,EcovillageMap,,
38,Aldea 506 Ecovillage,10.3777,-84.6113,ecovillage,,,EcovillageMap,,
39,Aldea Domo Permacultura Integral,-34.7937,-70.7657,ecovillage,,,EcovillageMap,,
40,Aldea Ecologica Gaia,18.668,-70.4945,ecovillage,,,EcovillageMap,,
41,Aldea Ecolén,28.6368,-17.9147,ecovillage,,,EcovillageMap,,
42,Aldea Feliz,4.98908,-74.27742,ecoversity,,,Ecoversities,,
43,Aldea de Olla,39.7296,-0.5057,ecovillage,,,EcovillageMap,,
44,Aldeafeliz Ecovillage,4.9878,-74.2791,ecovillage,,,EcovillageMap,,
45,Aldeas de Paz,4.5869,-61.0904,ecovillage,,,EcovillageMap,,
46,Alder Commons,45.55521,-122.61997,ecoversity,,,Ecoversities,,
47,Alderleaf Wilderness College,47.8283,-121.8273,ecovillage,,,EcovillageMap,,
48,Aldinga Arts Ecovillage,-35.2653,138.4784,ecovillage,,,EcovillageMap,,
49,AlmaOhana,37.6163,-8.571,ecovillage,,,EcovillageMap,,
50,Almarte,19.06,-69.8664,ecovillage,,,EcovillageMap,,
51,Almost Heaven Farms,26.8852,88.0431,ecovillage,,,EcovillageMap,,
52,Alpha Farm,44.1604,-123.7017,ecovillage,,,EcovillageMap,,
53,Altair EcoVillage,40.1353,-75.5568,ecovillage,,,EcovillageMap,,
54,Alternative University,44.44609,26.1072,ecoversity,,,Ecoversities,,
55,Amalurra,43.2352,-3.2205,ecovillage,,,EcovillageMap,,
56,Amiglia,44.5671,9.4208,ecovillage,,,EcovillageMap,,
57,Ampliando redes de intercambio,40.6567,-4.6812,ecovillage,,,EcovillageMap,,
58,Amriti Ecovillage,33.3483,71.9437,ecovillage,,,EcovillageMap,,
59,Ananda Marga Gurukula,23.50257,86.07328,ecoversity,,,Ecoversities,,
60,Ananda Valley,40.1703,-7.6648,ecovillage,,,EcovillageMap,,
61,Anandwan Smart Village,20.2506,79.0163,ecoversity,,,Ecoversities,,
62,Anarres - Ca' Favale,44.342,9.441,ecovillage,,,EcovillageMap,,
63,Anglesey Ecological Village,53.2274,-4.1293,ecovillage,,,EcovillageMap,,
64,Anjos do Sertão School-Farm,-8.1751,-43.2383,ecovillage,,,EcovillageMap,,
65,Anna Eco Village Resort,28.2026,83.985,ecovillage,,,EcovillageMap,,
66,Anuttara Sustainability Project,55.4593,-129.2315,ecovillage,,,EcovillageMap,,
67,Anveshan,11.99243,79.83503,ecoversity,,,Ecoversities,,
68,Arboretum Cohousing,43.0599,-89.4054,ecovillage,,,EcovillageMap,,
69,Arca Verde,-29.4644,-50.4993,ecovillage,,,EcovillageMap,,
70,Arca Verde,-29.4829,-50.5087,ecovillage,,,EcovillageMap,,
71,Argoumbat,43.9105,0.9805,ecovillage,,,EcovillageMap,,
72,Arroyolobo,38.5616,-5.5957,ecovillage,,,EcovillageMap,,
73,Arterra  Bizimodu  Ecoaldea,42.7152,-1.326,ecovillage,,,EcovillageMap,,
74,Articulacao SUL,-23.5559941,-46.6657631,ecoversity,,,Ecoversities,,
75,Artisans Makers and Growers Goldfields Vic. Aus.,-37.0497,143.7652,ecovillage,,,EcovillageMap,,
76,Arunachala 66,42.3667,2.4901,ecovillage,,,EcovillageMap,,
77,As One Suzuka Community,34.8688,136.5464,ecovillage,,,EcovillageMap,,
78,Asociacion SER para el desarrollo humano,-2.34639,-78.15217,ecoversity,,,Ecoversities,,
79,Asociación Manantial de Tara,28.3426,-16.4058,ecovillage,,,EcovillageMap,,
80,Assalam eco-village by the Indian Ocean: Sustainable Living in Zanzibar,-6.4483,39.4656,ecovillage,,,EcovillageMap,,
81,Atahualpa Habaspamba,0.1556,-78.3501,ecovillage,,,EcovillageMap,,
82,Atamai Village,-41.1431,172.9571,ecovillage,,,EcovillageMap,,
83,Atlan Center,45.7909,-121.5377,ecovillage,,,EcovillageMap,,
84,Atowi Project,42.8627142,-72.5676865,ecoversity,,,Ecoversities,,
85,Auro University,21.17622,72.73263,ecoversity,,,Ecoversities,,
